See You Again--Wiz Khalifa;Charlie Puth
権利者情報, , , ,管理状況, , ,演奏,録音,出版,貸与,ビデオ,映画,CM,ゲーム,放送,配信,通カラ,注意
 ,ヤマハミュージックパブリッシング, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
5,W B MUSIC CORP, ,出版者 , ,演録M,演:ASCAP 録:HARRY FOX, , , , , , , , , , , , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,ヤマハミュージックパブリッシング, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
6,W B MUSIC CORP, ,出版者 , ,演録M,演:ASCAP 録:HARRY FOX, , , , , , , , , , , , 
 ,ワーナー・チャペル音楽出版　株式会社　Ｓｙｎｃｈ事業部, ,サブ出版, ,部分信託,JASRAC, , ,img/management_icon_hyphen.png, , ,img/management_icon_sharp.png,img/management_icon_sharp.png, , , , , 
 ,ヤマハミュージックパブリッシング, ,サブ出版, ,全信託,JASRAC,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png,img/management_icon_hyphen.png, ,img/management_icon_hyphen.png, 
Faded--Alan Walker
権利者情報, , , ,管理状況, , ,演奏,録音,出版,貸与,ビデオ,映画,CM,ゲーム,放送,配信,通カラ,注意
No.,権利者,識別,契約,信託状況,所属団体,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_batsu.png,img/management_icon_batsu.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png,img/management_icon_J.png, 
1,BORGEN JESPER, ,作曲作詞, ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
2,FROEEN ANDERS, ,作曲作詞, ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
3,GREVE GUNNAR, ,作曲作詞, ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
4,WALKER ALAN, ,作曲作詞, ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
5,WARNER CHAPPELL MUSIC NORWAY(A)301 /373, ,出版者 , ,演録M,演:TONO 録:NCB, , , , , , , , , , , , 
